data;region;province;latitude;longitude;av_temperature;rel_humidity;precipitation;wind_speed;human_population;new_cases
25/09/2024;Extremadura;Badajoz;38.8781352;-6.9704837;22.6;78.8;0.2;10.7;664970;0
25/09/2024;Extremadura;Cáceres;39.4755328;-6.3734664;20.7;82;2.3;15.5;387820;0
25/09/2024;Andalucía;Cádiz;36.5210142;-6.2804565;22;84.9;0;17.3;1254291;0
25/09/2024;Andalucía;Córdoba;37.8893025;-4.7792753;21.5;71.3;0;7.1;772152;0
25/09/2024;Andalucía;Huelva;37.2619585;-6.9427327;22.5;84.3;0.8;12.7;533448;0
25/09/2024;Andalucía;Jaén;37.779552;-3.7849699;19.6;59.5;0;10.8;618678;0
25/09/2024;Andalucía;Málaga;36.7178196;-4.425557;25.4;51;0;16.5;1773136;0
25/09/2024;Andalucía;Sevilla;37.3890924;-5.9844589;23;77.9;0.2;15.5;1967746;0
25/09/2024;Castilla-La Mancha;Toledo;39.8628296;-4.0273067;20.1;67.5;0;12.3;740148;1
02/10/2024;Extremadura;Badajoz;38.8781352;-6.9704837;22.2;74.7;0;11.7;664970;0
02/10/2024;Extremadura;Cáceres;39.4755328;-6.3734664;20.8;80;0;16.4;387820;0
02/10/2024;Andalucía;Cádiz;36.5210142;-6.2804565;22.7;80;0;24.8;1254291;0
02/10/2024;Andalucía;Córdoba;37.8893025;-4.7792753;23.3;45.3;0;8.9;772152;0
02/10/2024;Andalucía;Huelva;37.2619585;-6.9427327;24;63.2;0;13.8;533448;0
02/10/2024;Andalucía;Jaén;37.779552;-3.7849699;23.4;45.9;0.4;12.5;618678;0
02/10/2024;Andalucía;Málaga;36.7178196;-4.425557;26.4;41.1;0;15.5;1773136;0
02/10/2024;Andalucía;Sevilla;37.3890924;-5.9844589;24.6;56.8;0;12.4;1967746;1
02/10/2024;Castilla-La Mancha;Toledo;39.8628296;-4.0273067;21.9;65.3;0;16.2;740148;0
09/10/2024;Extremadura;Badajoz;38.8781352;-6.9704837;20.1;79.6;1.6;17.3;664970;0
09/10/2024;Extremadura;Cáceres;39.4755328;-6.3734664;17.8;84.8;4.8;26.3;387820;0
09/10/2024;Andalucía;Cádiz;36.5210142;-6.2804565;21.5;84.4;1;31.9;1254291;0
09/10/2024;Andalucía;Córdoba;37.8893025;-4.7792753;20.1;85.3;2.9;22.2;772152;0
09/10/2024;Andalucía;Huelva;37.2619585;-6.9427327;20.5;81.9;0;19.8;533448;0
09/10/2024;Andalucía;Jaén;37.779552;-3.7849699;18.6;72.4;0.4;22.4;618678;0
09/10/2024;Andalucía;Málaga;36.7178196;-4.425557;21;66.1;0;13.1;1773136;0
09/10/2024;Andalucía;Sevilla;37.3890924;-5.9844589;20.9;85.2;3.6;21.9;1967746;1
09/10/2024;Castilla-La Mancha;Toledo;39.8628296;-4.0273067;19.1;74.4;0.4;21.2;740148;0
16/10/2024;Extremadura;Badajoz;38.8781352;-6.9704837;20.2;81.7;5.4;11.9;664970;0
16/10/2024;Extremadura;Cáceres;39.4755328;-6.3734664;18.4;85.8;19.6;19.9;387820;0
16/10/2024;Andalucía;Cádiz;36.5210142;-6.2804565;21.2;88;1.8;29.9;1254291;0
16/10/2024;Andalucía;Córdoba;37.8893025;-4.7792753;20.8;84.2;12.7;19.1;772152;0
16/10/2024;Andalucía;Huelva;37.2619585;-6.9427327;21.2;85.1;20.5;19.5;533448;0
16/10/2024;Andalucía;Jaén;37.779552;-3.7849699;20.5;70.4;6.4;21.3;618678;0
16/10/2024;Andalucía;Málaga;36.7178196;-4.425557;18.9;88.4;2.2;9.6;1773136;0
16/10/2024;Andalucía;Sevilla;37.3890924;-5.9844589;20.3;86.3;22.2;21.3;1967746;0
16/10/2024;Castilla-La Mancha;Toledo;39.8628296;-4.0273067;19.1;77.5;16.2;15.7;740148;0
23/10/2024;Extremadura;Badajoz;38.8781352;-6.9704837;18.8;74.1;0;8.6;664970;0
23/10/2024;Extremadura;Cáceres;39.4755328;-6.3734664;18.7;73.7;0;12.5;387820;0
23/10/2024;Andalucía;Cádiz;36.5210142;-6.2804565;21.1;69.7;0;30.8;1254291;0
23/10/2024;Andalucía;Córdoba;37.8893025;-4.7792753;19.9;70.7;0;5.8;772152;0
23/10/2024;Andalucía;Huelva;37.2619585;-6.9427327;20.7;74.9;0;8.1;533448;0
